# Automatically generated
# duptype id depth size device inode priority name
DUPTYPE_WITHIN_SAME_TREE -3555 8 83 2051 2263797 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/asap.js
DUPTYPE_FIRST_OCCURRENCE 3527 7 84 2051 2263917 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/core/dict.js
DUPTYPE_WITHIN_SAME_TREE -3527 8 84 2051 2263919 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/core/dict.js
DUPTYPE_WITHIN_SAME_TREE -3527 7 84 2051 2263918 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/dict.js
DUPTYPE_WITHIN_SAME_TREE -3527 8 84 2051 2263920 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/dict.js
DUPTYPE_FIRST_OCCURRENCE 3526 7 86 2051 2263909 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/core/delay.js
DUPTYPE_WITHIN_SAME_TREE -3526 8 86 2051 2263912 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/fn/delay.js
DUPTYPE_WITHIN_SAME_TREE -3526 7 86 2051 2263910 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/fn/delay.js
DUPTYPE_WITHIN_SAME_TREE -3526 8 86 2051 2263911 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/core/delay.js
DUPTYPE_FIRST_OCCURRENCE 3946 7 86 2051 2263922 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/web/dom-collections.js
DUPTYPE_WITHIN_SAME_TREE -3946 8 86 2051 2263921 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/web/dom-collections.js
DUPTYPE_FIRST_OCCURRENCE 3650 7 86 2051 2263610 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/_iter-step.js
DUPTYPE_WITHIN_SAME_TREE -3650 8 86 2051 2263609 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/library/modules/_iter-step.js
DUPTYPE_FIRST_OCCURRENCE 3632 7 87 2051 2263574 1 /home/armen/personal/tmp/git_playground_2025/node_modules/.pnpm/core-js@2.6.12/node_modules/core-js/modules/_function-to-string.js
